pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
disease,GARD:0000001,GRACILE syndrome,biolink:Disease,1,GARD:0000001,false,true,GARD
disease,GARD:0000003,Ablepharon macrostomia syndrome,biolink:Disease,1,GARD:0000003,false,true,GARD
disease,GARD:0000005,Abetalipoproteinaemia,biolink:Disease,1,GARD:0000005,false,true,GARD
disease,GARD:0000006,Acromesomelic dysplasia,biolink:Disease,1,GARD:0000006,false,true,GARD
disease,GARD:0000007,Acromicric dysplasia,biolink:Disease,1,GARD:0000007,false,true,GARD
disease,GARD:0000011,Alternating hemiplegia of childhood,biolink:Disease,1,GARD:0000011,false,true,GARD
disease,GARD:0000012,Hypersensitivity pneumonitis,biolink:Disease,1,GARD:0000012,false,true,GARD
disease,GARD:0000013,Gillespie syndrome,biolink:Disease,1,GARD:0000013,false,true,GARD
disease,GARD:0000016,Oculomotor apraxia - Cogan type,biolink:Disease,1,GARD:0000016,false,true,GARD
disease,GARD:0000017,Arachnoid cyst,biolink:Disease,1,GARD:0000017,false,true,GARD
disease,GARD:0000019,Dihydropyrimidine dehydrogenase deficiency,biolink:Disease,1,GARD:0000019,false,true,GARD
disease,GARD:0000022,Pili torti-deafness syndrome,biolink:Disease,1,GARD:0000022,false,true,GARD
disease,GARD:0000023,"Blepharophimosis, ptosis, and epicanthus inversus syndrome",biolink:Disease,1,GARD:0000023,false,true,GARD
disease,GARD:0000026,Cat eye syndrome,biolink:Disease,1,GARD:0000026,false,true,GARD
disease,GARD:0000027,Cat scratch disease,biolink:Disease,1,GARD:0000027,false,true,GARD
disease,GARD:0000028,Catel-Manzke syndrome,biolink:Disease,1,GARD:0000028,false,true,GARD
disease,GARD:0000029,CHARGE syndrome,biolink:Disease,1,GARD:0000029,false,true,GARD
disease,GARD:0000031,Serpiginous choroiditis,biolink:Disease,1,GARD:0000031,false,true,GARD
disease,GARD:0000035,Tetrasomy 18p,biolink:Disease,1,GARD:0000035,false,true,GARD
disease,GARD:0000039,WT limb-blood syndrome,biolink:Disease,1,GARD:0000039,false,true,GARD
disease,GARD:0000042,Tetrasomy 9p,biolink:Disease,1,GARD:0000042,false,true,GARD
disease,GARD:0000043,Mosaic trisomy 9,biolink:Disease,1,GARD:0000043,false,true,GARD
disease,GARD:0000044,Haim-Munk syndrome,biolink:Disease,1,GARD:0000044,false,true,GARD
disease,GARD:0000045,Congenital varicella syndrome,biolink:Disease,1,GARD:0000045,false,true,GARD
disease,GARD:0000046,Corticobasal degeneration disorder,biolink:Disease,1,GARD:0000046,false,true,GARD
disease,GARD:0000047,Crigler-Najjar syndrome type 1,biolink:Disease,1,GARD:0000047,false,true,GARD
disease,GARD:0000048,"Mitochondrial complex IV deficiency, nuclear-type",biolink:Disease,1,GARD:0000048,false,true,GARD
disease,GARD:0000049,De Barsy syndrome,biolink:Disease,1,GARD:0000049,false,true,GARD
disease,GARD:0000054,Duodenal atresia,biolink:Disease,1,GARD:0000054,false,true,GARD
disease,GARD:0000059,Spinocerebellar ataxia type 34,biolink:Disease,1,GARD:0000059,false,true,GARD
disease,GARD:0000060,Iridocorneal endothelial syndrome,biolink:Disease,1,GARD:0000060,false,true,GARD
