pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
disease,GARD:10001,"Congenital secretory diarrhea, chloride type",biolink:Disease,1,GARD:10001,false,true,GARD
disease,GARD:10002,Chromosome 8Q12.1-q21.2 deletion syndrome,biolink:Disease,1,GARD:10002,false,true,GARD
disease,GARD:10004,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,biolink:Disease,1,GARD:10004,false,true,GARD
disease,GARD:10005,Progressive familial heart block,biolink:Disease,1,GARD:10005,false,true,GARD
disease,GARD:10007,Immunodeficiency 61,biolink:Disease,1,GARD:10007,false,true,GARD
disease,GARD:10009,Opsoclonus-myoclonus syndrome,biolink:Disease,1,GARD:10009,false,true,GARD
disease,GARD:10011,Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome,biolink:Disease,1,GARD:10011,false,true,GARD
disease,GARD:10012,Camptodactyly-tall stature-scoliosis-hearing loss syndrome,biolink:Disease,1,GARD:10012,false,true,GARD
disease,GARD:1002,X-linked mandibulofacial dysostosis,biolink:Disease,1,GARD:1002,false,true,GARD
disease,GARD:10023,Bruck syndrome 2,biolink:Disease,1,GARD:10023,false,true,GARD
disease,GARD:10024,"Whistling face syndrome, recessive form",biolink:Disease,1,GARD:10024,false,true,GARD
disease,GARD:10026,Piriformis syndrome,biolink:Disease,1,GARD:10026,false,true,GARD
disease,GARD:10033,"Aneurysm, intracranial berry, 2",biolink:Disease,1,GARD:10033,false,true,GARD
disease,GARD:10034,Congenital trigeminal anesthesia,biolink:Disease,1,GARD:10034,false,true,GARD
disease,GARD:10035,"Prosopagnosia, hereditary",biolink:Disease,1,GARD:10035,false,true,GARD
disease,GARD:10043,Usher syndrome type 1F,biolink:Disease,1,GARD:10043,false,true,GARD
disease,GARD:10048,Anonychia,biolink:Disease,1,GARD:10048,false,true,GARD
disease,GARD:10049,Central areolar choroidal dystrophy,biolink:Disease,1,GARD:10049,false,true,GARD
disease,GARD:10051,Limb-mammary syndrome,biolink:Disease,1,GARD:10051,false,true,GARD
